06/04/2014,http://www.data.gouv.fr/fr/dataset/artisans-nombre-d-entreprises-chiffre-d-affaires-et-valeur-ajoutee,/artisans-nombre-d-entreprises-chiffre-d-affaires-et-valeur-ajoutee,45,9,88%,,89%,155,5,8,45,8,0.766
11/04/2014,http://www.data.gouv.fr/fr/dataset/artisans-nombre-d-entreprises-chiffre-d-affaires-et-valeur-ajoutee,/artisans-nombre-d-entreprises-chiffre-d-affaires-et-valeur-ajoutee,0,6,100%,,100%,108,0,6,0,6,0.5
12/04/2014,http://www.data.gouv.fr/fr/dataset/artisans-nombre-d-entreprises-chiffre-d-affaires-et-valeur-ajoutee,/artisans-nombre-d-entreprises-chiffre-d-affaires-et-valeur-ajoutee,28,4,67%,,100%,140,7,3,28,4,0.367
13/04/2014,http://www.data.gouv.fr/fr/dataset/artisans-nombre-d-entreprises-chiffre-d-affaires-et-valeur-ajoutee,/artisans-nombre-d-entreprises-chiffre-d-affaires-et-valeur-ajoutee,135,2,0%,1,50%,315,68,2,135,1,0.255
14/04/2014,http://www.data.gouv.fr/fr/dataset/artisans-nombre-d-entreprises-chiffre-d-affaires-et-valeur-ajoutee,/artisans-nombre-d-entreprises-chiffre-d-affaires-et-valeur-ajoutee,0,2,0%,1,50%,315,68,2,135,1,0.255
06/04/2014,http://www.data.gouv.fr/fr/dataset/atlas-fiscal,/atlas-fiscal,281,2,0%,1,0%,,141,,281,,0.225
11/04/2014,http://www.data.gouv.fr/fr/dataset/avis-et-conseils-de-la-cada,/avis-et-conseils-de-la-cada,34,9,100%,1,78%,0,4,1,34,7,1.282
12/04/2014,http://www.data.gouv.fr/fr/dataset/avis-et-conseils-de-la-cada,/avis-et-conseils-de-la-cada,453,10,0%,1,60%,,45,,453,6,0.557
13/04/2014,http://www.data.gouv.fr/fr/dataset/avis-et-conseils-de-la-cada,/avis-et-conseils-de-la-cada,234,6,0%,,67%,,39,,234,4,0.458
14/04/2014,http://www.data.gouv.fr/fr/dataset/avis-et-conseils-de-la-cada,/avis-et-conseils-de-la-cada,1304,36,25%,2,66%,97,34,4,1304,25,0.58
